year,weight,gender,race1r,hispanic,ethnic1r,ager,marital2,hincome,popsize,region,msa,direl,notify,weapon,weapcat,newcrime,newoff,seriousviolent,injury,treatment,vicservices,locationr
2013,1617.1611,1,1,2,1,7,4,7,4,3,1,4,2,1,1,1,2,1,0,0,2,3
2013,2268.48129,2,2,2,2,6,2,3,0,3,2,1,1,2,0,1,4,2,0,0,2,1
2013,1730.95554,2,1,2,1,5,1,2,1,1,2,1,2,2,0,1,4,2,0,0,2,5
2013,1730.95554,2,1,2,1,5,1,2,1,1,2,1,2,2,0,1,4,2,0,0,2,5
2013,3510.59375,1,3,2,3,6,2,5,5,3,1,3,2,3,5,1,4,2,0,0,2,3
2013,1975.13003,2,2,2,2,6,1,3,1,1,2,1,1,2,0,1,4,2,1,2,2,3
2013,1975.13003,2,2,2,2,6,1,3,1,1,2,3,2,2,0,1,4,2,0,0,2,4
2013,4589.42488,1,1,2,1,1,1,7,1,4,2,2,2,1,3,1,3,1,0,0,2,1
2013,2962.23805,2,1,2,1,6,1,2,4,3,1,4,2,1,3,1,3,1,0,0,2,5
2013,31867.43706,1,2,2,2,6,2,88,5,3,1,3,1,1,1,1,3,1,0,0,2,3
2013,4247.98307,1,1,2,1,5,4,88,0,1,3,1,1,1,3,1,3,1,1,2,2,3
2013,1763.128,1,3,1,4,5,2,7,1,1,1,4,1,2,0,1,4,2,1,1,2,3
2013,2218.94831,2,3,2,3,3,2,3,3,4,1,4,2,2,0,1,1,1,0,0,2,3
2013,1726.59409,1,1,1,4,6,2,5,4,4,1,2,1,2,0,1,4,2,0,0,1,1
2013,3982.95925,1,1,1,4,6,1,5,3,4,1,3,2,3,5,1,4,2,0,0,2,5
2013,3982.95925,1,1,1,4,6,1,5,3,4,1,3,2,3,5,1,4,2,0,0,2,1
2013,3982.95925,1,1,1,4,6,1,5,3,4,1,3,2,3,5,1,4,2,0,0,2,3
2013,3340.03451,1,1,2,1,5,1,88,5,4,1,4,1,2,0,1,4,2,0,0,2,3
2013,1601.93163,2,1,2,1,6,2,88,4,2,1,6,2,2,0,2,5,3,0,0,2,5
